pID	pAge	pGender	qID	qFile	qBlock	qSBlock	qAnswer
0	6	F	8	1	1	1	5
0	6	F	2	1	1	1	5
0	6	F	7	1	1	1	5
0	6	F	1	1	1	1	5
0	6	F	3	1	1	1	5
0	6	F	5	1	1	1	5
0	6	F	4	1	1	1	5
0	6	F	6	1	1	1	5
0	6	F	1	1	1	2	5
0	6	F	3	1	1	2	5
0	6	F	7	1	1	2	5
0	6	F	6	1	1	2	5
0	6	F	2	1	1	2	5
0	6	F	5	1	1	2	5
0	6	F	8	1	1	2	5
0	6	F	4	1	1	2	5
0	6	F	7	1	1	3	5
0	6	F	5	1	1	3	5
0	6	F	2	1	1	3	5
0	6	F	3	1	1	3	5
0	6	F	6	1	1	3	5
0	6	F	4	1	1	3	5
0	6	F	8	1	1	3	5
0	6	F	1	1	1	3	5
0	6	F	5	1	1	4	5
0	6	F	8	1	1	4	5
0	6	F	1	1	1	4	5
0	6	F	3	1	1	4	5
0	6	F	7	1	1	4	5
0	6	F	2	1	1	4	5
0	6	F	4	1	1	4	5
0	6	F	6	1	1	4	5
0	6	F	3	1	1	5	5
0	6	F	7	1	1	5	5
0	6	F	8	1	1	5	5
0	6	F	2	1	1	5	5
0	6	F	1	1	1	5	5
0	6	F	4	1	1	5	5
0	6	F	6	1	1	5	5
0	6	F	5	1	1	5	5
0	6	F	1	1	1	6	5
0	6	F	5	1	1	6	5
0	6	F	8	1	1	6	5
0	6	F	7	1	1	6	5
0	6	F	3	1	1	6	5
0	6	F	4	1	1	6	5
0	6	F	2	1	1	6	5
0	6	F	6	1	1	6	5
